# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = test_model
# start_datetime = 2021-06-14 13:33:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../cmdstan/myTest/test.data.json
# init = 2 (Default)
# random
#   seed = 300164798 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = %%NAME%%3 %%VERSION%%
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,r,z
# Adaptation terminated
# Step size = 0.937857
# Diagonal elements of inverse mass matrix:
# 0.440738
-7.17336,0.953235,0.937857,2,7,0,7.18564,0.147978,1,nan
-7.54886,0.94985,0.937857,1,1,0,7.55118,0.117504,1,nan
-10.6504,0.860409,0.937857,2,3,0,10.6509,0.645681,1,nan
-7.80559,1,0.937857,1,1,0,9.85584,0.453025,1,nan
-6.79343,0.931946,0.937857,2,3,0,8.29561,0.288869,1,nan
-6.79343,0.789333,0.937857,1,3,0,7.92312,0.288869,1,nan
-6.79036,0.922053,0.937857,2,3,0,7.33205,0.214854,1,nan
-6.88222,0.964448,0.937857,1,3,0,7.0637,0.318152,1,nan
-7.19509,0.823911,0.937857,2,7,0,7.94678,0.145778,1,nan
-6.97047,1,0.937857,1,1,0,7.16114,0.173385,1,nan
-6.75576,1,0.937857,2,3,0,6.95991,0.234665,1,nan
-6.87625,0.977476,0.937857,1,3,0,6.89677,0.190522,1,nan
-6.77522,0.987394,0.937857,1,3,0,7.016,0.27988,1,nan
-6.78388,0.887042,0.937857,2,3,0,7.56474,0.21756,1,nan
-6.94518,0.950192,0.937857,1,3,0,7.14442,0.333367,1,nan
-7.13298,0.853533,0.937857,1,3,0,7.95137,0.152276,1,nan
-7.45135,0.956041,0.937857,1,1,0,7.45541,0.124185,1,nan
-7.33849,1,0.937857,1,1,0,7.49638,0.132851,1,nan
-7.25007,0.890073,0.937857,1,3,0,8.80142,0.386648,1,nan
-7.01303,1,0.937857,1,1,0,7.21486,0.347415,1,nan
-7.20837,0.837534,0.937857,2,3,0,8.12901,0.380497,1,nan
-7.52333,0.915973,0.937857,1,1,0,7.58973,0.422172,1,nan
-8.32458,0.395142,0.937857,2,7,0,12.1929,0.0801099,1,nan
-6.77016,0.918595,0.937857,1,3,0,9.365,0.276898,1,nan
-6.79384,0.983887,0.937857,1,3,0,6.88048,0.213493,1,nan
-7.53308,0.87074,0.937857,1,3,0,7.7359,0.118541,1,nan
-7.46807,1,0.937857,1,1,0,7.61484,0.122992,1,nan
-7.38255,0.8734,0.937857,1,3,0,9.29842,0.404767,1,nan
-7.38255,0.726325,0.937857,1,3,0,9.33877,0.404767,1,nan
-7.17511,1,0.937857,1,1,0,7.3974,0.375403,1,nan
-6.75451,0.999295,0.937857,1,3,0,7.14122,0.264418,1,nan
-7.21316,0.935786,0.937857,2,3,0,7.21699,0.144003,1,nan
-6.85335,0.994729,0.937857,2,3,0,7.28908,0.195752,1,nan
-6.76326,0.999788,0.937857,2,7,0,6.83416,0.272235,1,nan
-6.89439,0.947519,0.937857,2,3,0,7.09847,0.186754,1,nan
-7.13118,0.917035,0.937857,1,3,0,7.68748,0.368389,1,nan
-7.46808,0.674525,0.937857,1,3,0,9.1146,0.12299,1,nan
-7.44042,0.877425,0.937857,2,3,0,9.32752,0.124977,1,nan
-7.13288,1,0.937857,1,1,0,7.4018,0.152288,1,nan
-7.20929,0.988819,0.937857,1,1,0,7.25251,0.144379,1,nan
-7.04014,1,0.937857,2,3,0,7.19616,0.163427,1,nan
-6.8365,0.993558,0.937857,2,3,0,7.128,0.200028,1,nan
-6.7485,1,0.937857,2,3,0,6.82166,0.253898,1,nan
-7.09184,0.95299,0.937857,2,3,0,7.10251,0.156975,1,nan
-6.79225,0.973712,0.937857,1,3,0,7.40327,0.288344,1,nan
-6.80037,0.998058,0.937857,1,1,0,6.8087,0.29182,1,nan
-6.75947,0.992075,0.937857,1,3,0,6.85389,0.231411,1,nan
